City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,lively,46.4334,-81.1498,30.02,74,100,6.26,CA,1678118760
287,rocha,-34.4833,-54.3333,88.77,24,0,9.62,UY,1678118760
288,ajaccio,42.0,8.9167,53.65,67,40,10.36,FR,1678118760
289,klaksvik,62.2266,-6.589,31.12,60,100,33.22,FO,1678118762
290,itubera,-13.7322,-39.1492,86.36,61,59,5.39,BR,1678118762
291,benguela,-12.5763,13.4055,79.12,68,75,5.95,AO,1678118763
292,taranagar,28.6709,75.0351,78.04,21,7,7.7,IN,1678118764
293,mtimbira,-8.7833,36.35,79.54,71,79,2.44,TZ,1678118764
294,valladolid,41.5833,-4.6667,54.84,69,100,11.41,ES,1678118638
295,gravdal,68.1214,13.5031,21.09,45,20,6.91,NO,1678118766
296,calbuco,-41.768,-73.1273,65.41,88,99,17.05,CL,1678118768
297,siavonga,-16.5382,28.7088,83.53,68,37,0.94,ZM,1678118770
298,hadejia,12.4498,10.0444,104.34,6,4,10.18,NG,1678118771
299,nouadhibou,20.931,-17.0347,75.18,53,2,17.27,MR,1678118772
300,pundaguitan,6.3711,126.1689,80.49,77,83,7.49,PH,1678118773
301,virginia beach,36.8529,-75.978,59.04,55,0,5.75,US,1678118558
302,laramie,41.3114,-105.5911,27.09,61,0,23.02,US,1678118774
303,avanigadda,16.0215,80.9181,75.31,65,16,8.1,IN,1678118775
304,beloha,-25.1667,45.05,73.76,92,100,16.13,MG,1678118776
305,cherskiy,68.75,161.3,-37.16,99,30,3.71,RU,1678118778
306,palauig,15.435,119.9045,74.26,69,0,6.62,PH,1678118780
307,kruisfontein,-34.0033,24.7314,65.88,83,97,11.39,ZA,1678118781
308,khuzdar,27.7384,66.6434,69.03,31,59,3.18,PK,1678118782
309,tautira,-17.7333,-149.15,77.67,82,100,16.17,PF,1678118782
310,manacapuru,-3.2997,-60.6206,81.72,82,80,6.49,BR,1678118626
311,porto novo,6.4965,2.6036,89.42,65,95,11.88,BJ,1678118783
312,sao francisco de assis,-29.5503,-55.1311,86.79,34,0,10.98,BR,1678118784
313,buraydah,26.326,43.975,81.05,19,92,6.58,SA,1678118565
314,souillac,-20.5167,57.5167,79.18,83,75,1.14,MU,1678118786
315,zaraysk,54.7653,38.8836,19.9,91,74,8.12,RU,1678118787
316,hasaki,35.7333,140.8333,43.21,79,6,10.31,JP,1678118788
317,high level,58.5169,-117.136,-32.69,68,0,3.44,CA,1678118711
318,puliyur,10.6333,78.8333,80.4,57,20,9.22,IN,1678118789
319,hervey bay,-25.2986,152.8535,74.77,68,2,7.11,AU,1678118790
320,katsuura,35.1333,140.3,49.95,80,3,5.77,JP,1678118791
321,marawi,7.9986,124.2928,66.67,97,91,2.3,PH,1678118791
322,santa cruz cabralia,-16.2781,-39.0247,80.83,83,75,9.22,BR,1678118792
323,velika obarska,44.8053,19.1642,53.89,53,98,5.08,BA,1678118793
324,samarai,-10.6167,150.6667,80.15,80,41,6.4,PG,1678118793
325,san quintin,30.4833,-115.95,56.16,69,95,15.35,MX,1678118794
326,killybegs,54.6333,-8.45,42.51,72,100,14.23,IE,1678118796
327,antsohihy,-14.8796,47.9875,76.3,93,100,2.64,MG,1678118797
328,jablonec,48.3333,17.45,39.58,97,100,3.33,SK,1678118798
329,payson,40.0444,-111.7321,30.38,88,100,4.61,US,1678118503
330,lakshmipur,22.95,90.8333,75.0,52,0,8.03,BD,1678118799
331,jumilla,38.4792,-1.325,61.52,48,69,18.99,ES,1678118800
332,bilma,18.6853,12.9164,97.95,6,95,8.23,NE,1678118801
333,machalpur,24.1333,76.3,80.82,25,81,3.94,IN,1678118802
334,voh,-20.9667,164.7,74.37,87,24,5.23,NC,1678118803
